code,stddev,rank
OGE,36.7,1
TTE,37.1,2
QVE,41.8,3
SSE,41.8,4
MWE,42.0,5
ATE,42.8,6
JCE,43.0,7
BHE,43.4,8
TCE,43.7,9
VNE,43.9,10
20E,44.3,11
MGE,44.8,12
HWE,44.9,13
ILE,45.5,14
UTE,46.0,15
WGE,46.2,16
CBE,46.4,17
ALE,46.7,18
SWE,46.9,19
BBE,47.1,20
AME,47.4,21
TOE,47.5,22
HHE,47.7,23
LLE,48.1,24
ELE,48.3,25
MYE,49.0,26
WOE,49.8,27
WWE,49.8,28
AWE,50.4,29
MOE,50.4,30
FFE,50.5,31
SLE,51.7,32
CLE,51.8,33
ZZE,52.0,34
RCE,53.4,35
GBE,55.8,36
TSE,56.2,37
8BE,56.7,38
EDE,58.5,39
BHH,58.8,40
TTH,60.7,41
LBE,61.7,42
MOH,62.2,43
WGH,62.4,44
TOH,62.8,45
UTH,62.8,46
ELH,62.9,47
ILH,62.9,48
OGH,63.1,49
MYH,63.4,50
TCH,63.5,51
FFH,65.3,52
MWH,65.4,53
AMH,65.5,54
SWH,65.5,55
HWH,66.1,56
AWH,66.2,57
ALH,66.5,58
20H,67.1,59
VNH,67.4,60
WWH,67.5,61
LLH,67.9,62
MGH,68.0,63
QVH,68.6,64
JCH,68.8,65
ZZH,68.8,66
8BH,69.0,67
HHH,69.4,68
CLH,69.8,69
WOH,70.2,70
ATH,72.6,71
LBH,72.7,72
SSH,72.7,73
RCH,75.0,74
CBH,77.0,75
EDH,77.5,76
SLH,78.2,77
GBH,80.1,78
TSH,80.6,79
BBH,83.8,80
