course,code,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,total
"20,000 Leagues Under The Sea",20E,3,3,3,3,3,3,4,4,3,4,3,3,4,3,4,3,3,3,59
"20,000 Leagues Under The Sea - Hard",20H,3,3,3,3,3,3,4,4,3,4,3,3,4,3,4,3,3,4,60
8-Bit Lair,8BE,2,3,3,4,3,3,2,3,3,4,3,3,4,3,4,3,4,3,57
8-Bit Lair - Hard,8BH,3,3,3,4,3,3,3,3,4,4,4,4,4,3,3,3,4,3,61
Alfheim,ALE,3,3,4,3,3,3,2,3,3,3,3,4,3,3,4,3,3,4,57
Alfheim - Hard,ALH,5,3,3,4,3,4,4,3,3,3,3,3,3,4,3,4,3,3,61
Alice's Adventures in Wonderland,WOE,3,3,3,3,4,3,4,4,3,3,3,5,3,4,4,3,4,5,64
Alice's Adventures in Wonderland - Hard,WOH,3,3,3,3,4,3,4,4,3,4,3,5,3,5,4,3,4,5,66
Arizona Modern,AME,3,3,4,4,4,3,3,5,4,4,4,5,4,3,3,3,3,4,66
Arizona Modern - Hard,AMH,3,3,4,4,3,3,3,5,4,4,4,5,4,3,3,3,3,4,65
Around The World in 80 Days,AWE,3,3,4,3,4,3,3,4,3,3,3,3,3,3,3,3,3,3,57
Around The World in 80 Days - Hard,AWH,3,3,4,3,3,3,3,3,3,4,3,3,3,3,2,3,3,4,56
Atlantis,ATE,3,3,3,3,3,3,4,3,4,3,4,4,3,3,4,3,3,3,59
Atlantis - Hard,ATH,3,3,3,3,3,3,3,2,4,3,4,4,3,3,3,4,3,5,59
Blokhaven,BHE,2,3,3,3,3,2,3,3,3,2,3,5,3,3,3,3,3,3,53
Blokhaven - Hard,BHH,3,3,4,4,3,3,3,3,3,3,3,5,3,4,3,3,3,3,59
Bogey's Bonanza,BBE,2,3,4,3,4,4,3,4,4,3,2,4,4,3,4,3,3,3,60
Bogey's Bonanza - Hard,BBH,3,3,5,4,4,3,3,4,4,3,2,5,4,3,5,3,3,6,67
Cherry Blossom,CBE,3,4,3,4,3,3,3,4,3,5,3,4,2,3,3,3,3,7,63
Cherry Blossom - Hard,CBH,3,4,3,4,3,3,3,4,3,8,3,3,2,4,3,4,4,6,67
Crystal Lair,CLE,3,3,3,3,3,3,3,3,3,3,3,4,3,4,3,4,4,3,58
Crystal Lair - Hard,CLH,3,3,3,4,3,3,3,3,3,3,4,4,3,4,3,3,3,3,58
El Dorado,EDE,3,3,3,3,4,3,3,3,5,3,5,4,3,3,3,3,3,5,62
El Dorado - Hard,EDH,3,3,3,3,4,4,3,3,5,3,4,3,3,3,3,3,3,5,61
Forgotten Fairyland,FFE,3,2,3,3,4,3,3,5,3,4,3,4,4,4,5,3,3,5,64
Forgotten Fairyland - Hard,FFH,3,3,3,3,4,3,2,5,3,2,3,3,4,4,5,3,2,4,59
Gardens of Babylon,GBE,2,3,3,4,3,5,2,3,6,3,4,4,3,4,3,3,3,3,61
Gardens of Babylon - Hard,GBH,3,3,4,3,4,6,3,3,3,4,4,4,3,3,3,3,4,4,64
Holiday Hideaway,HHE,3,3,3,3,3,3,3,3,3,3,4,3,3,3,4,4,3,2,56
Holiday Hideaway - Hard,HHH,4,3,3,3,3,3,3,3,3,3,4,3,3,2,4,3,3,2,55
Hollywood,HWE,3,3,4,3,3,3,3,3,3,3,2,3,3,4,3,4,3,3,56
Hollywood - Hard,HWH,3,3,4,3,3,4,3,3,4,4,3,4,3,5,3,4,3,3,62
Ice Lair,ILE,2,3,3,3,3,4,3,4,3,3,3,3,4,4,3,5,4,4,61
Ice Lair - Hard,ILH,3,2,2,3,3,4,3,3,3,4,3,3,4,3,3,5,4,4,59
Journey to the Center of the Earth,JCE,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,56
Journey to the Center of the Earth - Hard,JCH,3,3,3,4,3,4,4,3,3,3,3,4,3,3,4,3,3,4,60
Labyrinth,LBE,3,3,4,5,3,3,3,4,4,3,3,3,3,4,4,3,3,6,64
Labyrinth - Hard,LBH,3,3,4,5,3,3,3,3,5,3,3,4,3,5,4,3,4,4,65
Laser Lair,LLE,3,3,3,3,4,3,3,3,3,4,3,3,3,4,3,4,3,2,57
Laser Lair - Hard,LLH,3,3,3,3,3,3,4,3,4,4,3,3,4,3,3,3,3,3,58
Mars Gardens,MGE,3,3,2,4,3,3,3,4,5,3,3,3,3,3,3,3,4,3,58
Mars Gardens - Hard,MGH,3,3,3,4,3,3,3,3,5,3,3,4,3,4,3,3,4,3,60
Meow Wolf,MWE,3,2,3,4,3,4,3,4,3,3,3,3,3,3,3,4,4,2,57
Meow Wolf - Hard,MWH,3,2,3,3,2,3,3,4,3,3,2,5,4,3,3,5,4,2,57
Mount Olympus,MOE,3,3,3,4,3,3,4,4,3,3,3,4,3,4,3,3,4,4,61
Mount Olympus - Hard,MOH,4,4,4,4,4,3,4,3,4,3,3,3,3,3,4,3,3,3,62
Myst,MYE,3,3,3,3,4,3,4,3,4,3,3,3,4,3,4,3,4,4,61
Myst - Hard,MYH,3,3,3,3,3,3,5,3,4,3,3,4,4,3,4,3,4,5,63
Original Gothic,OGE,2,3,3,3,2,3,3,3,2,3,4,3,3,3,3,4,4,3,54
Original Gothic - Hard,OGH,2,3,3,4,3,3,3,4,4,4,5,4,3,3,3,4,5,4,64
Quixote Valley,QVE,2,2,3,4,3,3,3,3,3,3,2,3,3,4,3,3,3,4,54
Quixote Valley - Hard,QVH,3,3,3,5,4,3,3,3,3,3,3,3,4,4,3,3,3,4,60
