course,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,total
"20,000 Leagues Under the Sea",3,3,3,3,3,3,4,4,3,4,3,3,4,3,4,3,3,3,59
"20,000 Leagues Under the Sea - Hard",3,3,3,3,3,3,4,4,3,4,3,3,4,3,4,3,3,4,60
"8-Bit Lair",2,3,3,4,3,3,2,3,3,4,3,3,4,3,4,3,4,3,57
"8-Bit Lair - Hard",3,3,3,4,3,3,3,3,4,4,4,4,4,3,3,3,4,3,61
"Alfheim",3,3,4,3,3,3,2,3,3,3,3,4,3,3,4,3,3,4,57
"Alfheim - Hard",5,3,3,4,3,4,4,3,3,3,3,3,3,4,3,4,3,3,61
"Alice's Adventures in Wonderland",3,3,3,3,4,3,4,4,3,3,3,5,3,4,4,3,4,5,64
"Alice's Adventures in Wonderland - Hard",3,3,3,3,4,3,4,4,3,4,3,5,3,5,4,3,4,5,66
"Arizona Modern",3,3,4,4,4,3,3,5,4,4,4,5,4,3,3,3,3,4,66
"Arizona Modern - Hard",3,3,4,4,3,3,3,5,4,4,4,5,4,3,3,3,3,4,65
"Around the World in 80 Days",3,3,4,3,4,3,3,4,3,3,3,3,3,3,3,3,3,3,57
"Around the World - Hard",3,3,4,3,3,3,3,3,3,4,3,3,3,3,2,3,3,4,56
"Atlantis",3,3,3,3,3,3,4,3,4,3,4,4,3,3,4,3,3,3,59
"Atlantis - Hard",3,3,3,3,3,3,3,2,4,3,4,4,3,3,3,4,3,5,59
"Bogey's Bonanza",2,3,4,3,4,4,3,4,4,3,2,4,4,3,4,3,3,3,60
"Bogey's Bonanza - Hard",3,3,5,4,4,3,3,4,4,3,2,5,4,3,5,3,3,6,67
"Cherry Blossom",3,4,3,4,3,3,3,4,3,5,3,4,2,3,3,3,3,7,63
"Cherry Blossom - Hard",3,4,3,4,3,3,3,4,3,8,3,3,2,4,3,4,4,6,67
"Crystal Lair",3,3,3,3,3,3,3,3,3,3,3,4,3,4,3,4,4,3,58
"Crystal Lair - Hard",3,3,3,4,3,3,3,3,3,3,4,4,3,4,3,3,3,3,58
"El Dorado",3,3,3,3,4,3,3,3,5,3,5,4,3,3,3,3,3,5,62
"El Dorado - Hard",3,3,3,3,4,4,3,3,5,3,4,3,3,3,3,3,3,5,61
"Forgotten Fairyland",3,2,3,3,4,3,3,5,3,4,3,4,4,4,5,3,3,5,64
"Forgotten Fairyland - Hard",3,3,3,3,4,3,2,5,3,2,3,3,4,4,5,3,2,4,59
"Gardens of Babylon",2,3,3,4,3,5,2,3,6,3,4,4,3,4,3,3,3,3,61
"Gardens of Babylon - Hard",3,3,4,3,4,6,3,3,3,4,4,4,3,3,3,3,4,4,64
"Holiday Hideaway",3,3,3,3,3,3,3,3,3,3,4,3,3,3,4,4,3,2,56
"Holiday Hideaway - Hard",4,3,3,3,3,3,3,3,3,3,4,3,3,2,4,3,3,2,55
"Hollywood",3,3,4,3,3,3,3,3,3,3,2,3,3,4,3,4,3,3,56
"Hollywood - Hard",3,3,4,3,3,4,3,3,4,4,3,4,3,5,3,4,3,3,62
"Ice Lair",2,3,3,3,3,4,3,4,3,3,3,3,4,4,3,5,4,4,61
"Ice Lair - Hard",3,2,2,3,3,4,3,3,3,4,3,3,4,3,3,5,4,4,59
"Journey to the Center of the Earth",3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,56
"Center of the Earth - Hard",3,3,3,4,3,4,4,3,3,3,3,4,3,3,4,3,3,4,60
"Labyrinth",3,3,4,5,3,3,3,4,4,3,3,3,3,4,4,3,3,6,64
"Labyrinth - Hard",3,3,4,5,3,3,3,3,5,3,3,4,3,5,4,3,4,4,65
"Laser Lair",3,3,3,3,4,3,3,3,3,4,3,3,3,4,3,4,3,2,57
"Laser Lair - Hard",3,3,3,3,3,3,4,3,4,4,3,3,4,3,3,3,3,3,58
"Mars Gardens",3,3,2,4,3,3,3,4,5,3,3,3,3,3,3,3,4,3,58
"Mars Gardens - Hard",3,3,3,4,3,3,3,3,5,3,3,4,3,4,3,3,4,3,60
"Meow Wolf",3,2,3,4,3,4,3,4,3,3,3,3,3,3,3,4,4,2,57
"Meow Wolf - Hard",3,2,3,3,2,3,3,4,3,3,2,5,4,3,3,5,4,2,57
"Mount Olympus",3,3,3,4,3,3,4,4,3,3,3,4,3,4,3,3,4,4,61
"Mount Olympus - Hard",4,4,4,4,4,3,4,3,4,3,3,3,3,3,4,3,3,3,62
"Myst",3,3,3,3,4,3,4,3,4,3,3,3,4,3,4,3,4,4,61
"Myst - Hard",3,3,3,3,3,3,5,3,4,3,3,4,4,3,4,3,4,5,63
"Original Gothic",2,3,3,3,2,3,3,3,2,3,4,3,3,3,3,4,4,3,54
"Original Gothic - Hard",2,3,3,4,3,3,3,4,4,4,5,4,3,3,3,4,5,4,64
"Quixote Valley",2,2,3,4,3,3,3,3,3,3,2,3,3,4,3,3,3,4,54
"Quixote Valley - Hard",3,3,3,5,4,3,3,3,3,3,3,3,4,4,3,3,3,4,60
"Raptor Cliff's",3,3,3,3,3,2,3,4,4,3,3,4,3,4,3,3,3,5,59
"Raptor Cliff's - Hard",3,3,2,4,3,2,3,3,4,3,3,4,4,4,3,3,3,5,59
"Seagull Stacks",2,3,3,4,2,5,4,3,3,4,3,3,4,3,5,3,3,5,62
"Seagull Stacks - Hard",2,3,4,3,4,5,4,3,4,4,3,3,5,3,5,4,3,5,67
"Shangri-La",2,3,3,4,4,3,4,3,3,4,3,5,3,5,4,3,3,5,64
"Shangri-La - Hard",4,4,2,3,4,4,4,3,4,4,3,3,3,5,5,3,4,6,68
"Sweetopia",2,3,4,3,3,2,4,4,3,3,3,3,3,3,3,3,2,4,55
"Sweetopia - Hard",3,3,4,3,3,3,4,4,3,3,3,3,3,2,4,4,3,4,59
"Temple at Zerzura",3,4,3,4,3,5,4,3,3,3,3,3,4,4,3,3,3,5,63
"Temple at Zerzura - Hard",4,3,3,4,3,5,4,3,3,3,2,3,3,4,3,4,3,3,60
"Tethys Station",2,3,3,4,3,3,4,5,3,3,3,4,3,4,3,4,5,4,63
"Tethys Station - Hard",3,3,4,3,4,3,4,5,3,3,3,3,3,3,4,4,5,4,64
"Tourist Trap",2,2,3,3,3,3,3,4,3,3,3,3,3,4,3,3,3,6,57
"Tourist Trap - Hard",2,3,3,3,3,4,3,3,4,3,3,3,4,4,4,3,3,6,61
"Tokyo",3,4,3,3,3,3,4,3,3,3,3,3,3,2,3,3,3,3,55
